10000	초급 활력 포션	10000	10001	10002	10003	1	10000	10001	30000	0001CF	
10001	초급 생명 포션	10004	10005	10006	10007	1	10000	10002	30000	0002CF	
10002	맹공의 포션	10008	10009	10010	10011	1	10001	10005	30000	0002CF	
10003	그림자 은신 포션	10012	10013	10014	10015	1	10001	10005	30000	0002CF	
10004	영혼의 치유 포션	10016	10017	10018	10019	1	10001	10005	30000	0002CF	
10005	행운의 일격 포션	10020	10021	10022	10023	1	10001	10005	30000	0002CF	
10006	불굴의 방어 포션	10024	10025	10026	10027	1	10001	10005	30000	0002CF	
10007	순간 이동 포션	10028	10029	10030	10031	1	10001	10005	30000	0002CF	
10008	고대 지혜의 포션	10032	10033	10034	10035	1	10001	10005	30000	0002CF	
10009	야간 투시 포션	10036	10037	10038	10039	1	10001	10005	30000	0002CF	
10010	맹독의 포션	10040	10041	10042	10043	1	10001	10005	30000	0002CF	
10011	열정의 포션	10044	10045	10046	10047	1	10001	10005	30000	0002CF	
10012	매혹의 포션	10048	10049	10050	10051	1	10001	10005	30000	0002CF	
