10000	절구	40000	40001	40002	A	1	1	Kitchen	
10001	분쇄기	40003	40004	40005	B	1	1	Kitchen	
10002	가열 냄비	40006	40007	40008	C	1	1	Kitchen	
10003	증류기	40009	40010	40011	D	2	1	Kitchen	
10004	냉각기	40012	40013	40014	E	1	1	Kitchen	
10005	병입기	40015	40016	40017	F	1	1	Kitchen	
10006	마법 흡수기	40018	40019	40020	G	2	2	Kitchen	
20001	절구 MK II	40021	40022	40023	A	1	1	Kitchen	
20002	분쇄기 MK II	40024	40025	40026	B	1	1	Kitchen	
20003	가열 냄비 MK II	40027	40028	40029	C	1	1	Kitchen	
20004	증류기 MK II	40030	40031	40032	D	2	2	Kitchen	
20005	냉각기 MK II	40033	40034	40035	E	1	1	Kitchen	
