10000	반딧불이 이끼	20000	20001	20002	Plants	10000	00	5	
10001	천사의 숨결꽃	20003	20004	20005	Plants	10000	01	5	
10002	밤그림자 버섯	20006	20007	20008	Plants	10000	02	5	
10003	불꽃 덩굴	20009	20010	20011	Plants	10000	03	3	
10004	어둠의 장미	20012	20013	20014	Plants	10000	04	3	
10005	들꽃잎	20015	20016	20017	Plants	10000	05	2	
10006	푸른 이끼	20018	20019	20020	Plants	10000	06	2	
10007	뾰족 풀	20021	20022	20023	Plants	10000	07	2	
20000	천년 거북이 등껍질 조각	20024	20025	20026	Animals	10001	08	10	
20001	환상의 나비 날개	20027	20028	20029	Animals	10001	09	12	
20002	심해 상어 이빨	20030	20031	20032	Animals	10001	10	5	
30000	시간의 모래 결정	20033	20034	20035	Crystals	10001	11	12	
30001	별똥별 조각	20036	20037	20038	Crystals	10001	12	15	
30002	정령의 눈물석	20039	20040	20041	Crystals	10001	13	8	
